adgroup_id,pctr,ctr,smart_optimization_goal,second_goal,roi_goal,smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,industry_factor_adjust_pcvr,exposure_cnt,click_cnt,trace_cnt,active_num,fraud_type,valid_exposure_cnt,valid_click_cnt
3474057158,2260999936,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3449334974,25090000896,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3437956777,97844002816,\N,104,0,7,0,0,0,0,0,0,4,0,0,0,0
3474057158,4020999936,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3466063095,5993999872,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3473944808,62131998720,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3473834311,3769999872,0,104,0,7,0,0,0,0,2,0,0,0,0,2,0
3468940628,6138999808,0,104,0,7,0,0,0,0,1,0,0,0,1,0,0
3473831727,4676000000,0,104,0,7,0,0,0,0,2,0,0,0,0,2,0
3473750065,1988999936,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3473825974,22526999936,0,104,0,7,0,0,0,0,8,0,0,0,0,8,0
3476336634,760000000,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3468825610,16441999616,0,104,0,7,0,0,0,0,4,0,0,0,0,4,0
3464021829,5438999808,0,104,0,7,0,0,0,0,3,0,0,0,0,3,0
3464027179,23746000128,0,104,0,7,0,0,0,0,6,0,0,0,0,6,0
3473523757,763898996992,0,104,0,7,0,0,0,0,129,0,0,0,0,129,0
3474900738,2504999936,\N,104,0,7,0,0,0,0,0,0,1,0,0,0,0
3460400590,169519997632,0,104,0,7,0,0,0,0,36,0,0,0,0,36,0
3473912070,1582000000,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3476077943,6409999872,\N,104,0,7,0,0,0,0,0,0,2,0,0,0,0
3475083489,533000000,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3471247791,19644999680,0,104,0,7,0,0,0,0,2,0,0,0,0,2,0
3473499760,12319000320,0,104,0,7,0,0,0,0,2,0,0,0,0,2,0
3468293066,16657000448,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3452370171,8821000192,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3476296135,14739999744,0,104,0,7,0,0,0,0,1,0,0,0,0,0,0
3471247791,549261001984,0,104,0,7,0,0,0,0,50,0,0,0,0,50,0
3473870291,188529000448,0,104,0,7,0,0,0,0,18,0,0,0,0,0,0
3436689160,46639001600,0,104,0,7,0,0,0,0,1,0,0,0,0,0,0
3458070719,16160000000,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
3474449450,31371000832,0,104,0,7,0,0,0,0,4,0,0,0,0,0,0
3474057158,41838001152,0,104,0,7,0,0,0,0,3,0,0,0,0,0,0
3463255325,10512000000,0,104,0,7,0,0,0,0,2,0,0,0,0,0,0
3473499760,5457999872,0,104,0,7,0,0,0,0,1,0,0,0,0,0,0
3473499760,42376999680,0,104,0,7,0,0,0,0,6,0,0,0,0,0,0
3473523757,769073005056,12658,104,0,7,155261,155261,1,155261,79,1,0,0,0,0,1
3452370171,920903004672,0,104,0,7,0,0,0,0,65,0,0,0,0,65,0
3454294379,29126000640,0,104,0,7,0,0,0,0,1,0,0,0,0,0,0
3460400590,539280001024,0,104,0,7,0,0,0,0,52,0,0,0,0,52,0
3473895008,62079999488,0,104,0,7,0,0,0,0,6,0,0,0,0,6,0
3475135057,45504999936,0,104,0,7,0,0,0,0,4,0,0,0,0,4,0
3474156672,4627000064,0,104,0,7,0,0,0,0,2,0,0,0,0,2,0
3476058751,5289999872,0,104,0,7,0,0,0,0,1,0,0,0,0,1,0
