process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,pcvr_bias,exposure_cnt,click_cnt,cost,gmv
20210605,70702022115052,TKD,1,405,402,0.0,0,0,0.0,1800.0
20210605,80904328951508,TME,0,402,0,0.04469911874951543,108,4,3.2E-7,0.0
20210605,40706426556602,QQ系,1,105,0,0.0,0,0,0.0,34998.10999999999
20210605,20204533209471,TME,0,104,105,0.03333333333333333,36,1,4.5211000000000004E-7,0.0
20210605,50605442246954,IEG,1,204,0,0.0,0,0,0.0,11092.0
20210605,20209449293196,TME,0,104,105,0.02090659522664376,10901,53,1.397888E-4,0.0
20210605,40706426556602,QQ系,0,405,403,0.007692307692307693,65,1,1.0E-7,0.0
20210605,40903398619789,TME,0,406,0,0.030821185184878554,309,10,2.7018499999999985E-6,0.0
20210605,90301475842282,TME,1,302,0,0.0,0,0,0.0,0.0
20210605,90301475842282,TME,1,204,108,0.0,0,0,0.0,0.0
20210605,50007452537563,其他,1,104,108,0.0,0,0,0.0,0.0
20210605,30302471412393,QQ系,0,409,0,0.0,1,0,0.0,0.0
20210605,90903124471793,其他,0,104,204,0.0,8,0,0.0,0.0
20210605,40706426556602,未分组1,1,104,105,0.0,0,0,0.0,0.0
20210605,10309012621387,QQ系,1,405,402,0.0,0,0,0.0,0.0
20210605,80909368092923,IEG,1,301,0,0.0,0,0,0.0,89.98
20210605,90503492650537,IEG,0,108,0,0.0,230,0,5.900000000000001E-7,0.0
20210605,40301325569554,TME,0,205,0,7.4384516250820925,85157,2024,0.003101826699999999,0.0
20210605,80309495536503,未分组1,0,104,108,0.0073896497410764735,1933,5,2.0001759999999993E-5,0.0
20210605,40109452819930,IEG,0,301,0,0.0,10,0,1.95E-6,0.0
20210605,20309460140974,IEG,0,104,0,0.0,12,0,4.6999999999999995E-7,0.0
20210605,40903398619789,TME,1,205,0,0.0,0,0,0.0,0.0
20210605,50806409090287,TME,1,106,0,0.0,0,0,0.0,0.0
20210605,20209449293196,TME,1,10801,0,0.0,0,0,0.0,0.0
20210605,70608348419857,IEG,1,405,0,0.0,0,0,0.0,9224.99
20210605,60305460411544,阅文系,0,315,0,0.17366147700485407,639849,5089,0.00228630378,0.0
20210605,60003454983821,TME,0,104,315,0.0,1,0,0.0,0.0
20210605,30502474797090,CSIG,1,204,0,0.0,0,0,0.0,1398.56
20210605,70609460544983,IEG,1,104,108,0.0,0,0,0.0,0.0
20210605,70800426750600,QQ系,1,204,0,0.0,0,0,0.0,477942.14999999997
20210605,20009480643972,IEG,0,104,10801,0.05012839968174873,8154,93,0.002588044199999999,0.0
20210605,40604491829077,IEG,0,405,409,0.0,1,0,4.0E-8,0.0
20210605,80904328951508,TME,1,105,10801,0.0,0,0,0.0,0.0
20210605,40504400147134,阅文系,0,315,0,0.1044479646462728,11289,513,2.7531999999999985E-4,0.0
20210605,40809434919914,CSIG,0,405,0,0.0,231,0,7.971600000000001E-7,0.0
20210605,30400461864295,TME,1,301,0,0.0,0,0,0.0,6263.43
20210605,30506472073904,TME,1,107,0,0.0,0,0,0.0,330.64
20210605,40707432255536,IEG,0,301,0,0.015846383514291393,21904,257,3.0165142E-4,0.0
20210605,70608348419857,IEG,1,10801,0,0.0,0,0,0.0,8790.26
20210605,30607480914543,阅文系,1,406,0,0.0,0,0,0.0,0.0
20210605,20201368893836,TKD,0,402,10009,0.01781319582796203,459,4,7.197439999999999E-6,0.0
20210605,20201368893836,TKD,0,105,204,0.01515151515151515,162,1,4.519999999999999E-6,0.0
20210605,10005398496922,IEG,1,104,315,0.0,0,0,0.0,205.6
20210605,40301325569554,TME,0,302,318,0.0,13,0,0.0,0.0
20210605,70702022115052,TKD,0,205,0,11.27027753820283,3468033,90749,0.23360423999,0.0
20210605,50605442246954,IEG,1,105,10801,0.0,0,0,0.0,42396.0
20210605,10005398496922,IEG,0,204,205,0.00909090909090909,63,1,1.0099169999999998E-5,0.0
20210605,90100470046973,IEG,0,10801,0,0.0,15,0,3.2E-7,0.0
20210605,20201368893836,TKD,0,104,108,0.0682585038546183,3812,83,8.555628999999999E-5,0.0
20210605,70609460544983,IEG,0,405,108,0.0,101,0,5.5235E-7,0.0
20210605,60807476850604,TKD,0,403,0,0.0,26,0,1.2000000000000002E-7,0.0
20210605,70908422871965,阅文系,1,204,0,0.0,0,0,0.0,2868.23
20210605,50806409090287,TME,1,104,105,0.0,0,0,0.0,150.0
20210605,70707452477964,阅文系,0,105,0,7.494426461593567,37509,1140,1.5734757E-4,0.0
20210605,90505451424076,IEG,1,405,204,0.0,0,0,0.0,0.0
20210605,20906306793614,TKD,0,108,0,0.0,15,0,1.0E-8,0.0
20210605,60303415282763,IEG,1,104,108,0.0,0,0,0.0,0.0
20210605,40106476583359,未分组1,0,204,0,0.18997394843000137,40133,2734,0.0013136429699999994,0.0
20210605,30506472073904,TME,1,104,10801,0.0,0,0,0.0,6407.6
20210605,10907511528330,TME,0,205,0,0.011393036893619006,107,1,1.4154099999999999E-6,0.0
20210605,50104416453989,未分组1,0,301,0,0.0,3,0,3.0E-7,0.0
20210605,60305460411544,阅文系,1,204,0,0.0,0,0,0.0,8099.38
20210605,60005012352827,QQ系,0,315,204,0.03953171616570309,1422,32,3.263999999999999E-5,0.0
20210605,20604530875002,TME,1,405,0,0.0,0,0,0.0,236.5
20210605,70506421868294,TKD,0,405,205,0.24660244512639434,1614812,24394,0.05221279197000002,0.0
20210605,90100326256701,IEG,1,204,0,0.0,0,0,0.0,627.85
20210605,70608348419857,IEG,0,107,0,0.0,6,0,7.899999999999998E-7,0.0
20210605,40706426556602,QQ系,0,405,108,0.27561966213884564,372,21,2.0799E-6,0.0
20210605,70803405454129,CSIG,0,104,10801,0.15,184,6,2.1099999999999997E-6,0.0
20210605,50906420844971,IEG,1,205,0,0.0,0,0,0.0,0.0
20210605,70608348419857,IEG,0,106,0,0.02142857142857143,183,2,2.8689999999999998E-5,0.0
20210605,30806358632143,IEG,0,104,105,0.060393183794479346,52224,522,0.002460829150000001,1902.6799999999998
20210605,40504315369553,TME,1,301,0,0.0,0,0,0.0,66714.45
20210605,60402262989318,CSIG,0,409,0,25.65416264161915,38,2,2.3E-6,0.0
20210605,30607480914543,阅文系,1,301,108,0.0,0,0,0.0,918.0
20210605,60003454983821,TME,0,405,0,1.4462751804844551,19844,1142,5.166022099999999E-4,0.0
20210605,80904328951508,TME,0,108,0,0.6529453824604711,4996,266,1.4776197E-4,0.0
20210605,40106476583359,未分组1,0,10801,0,2.2448707333017093,10738,690,0.0016390034199999992,1350.98
20210605,30602476557982,CSIG,0,301,205,0.0,1,0,9.999999999999998E-8,0.0
20210605,50906420844971,IEG,0,405,0,0.08614151104564441,3496,57,3.368140099999999E-4,0.0
