process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_pctr,valid_click_smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,50605442246954,IEG,1,105,108,0,0,0,0.0,0,0,4,0,0.0,0.0
20210605,50605442246954,IEG,1,105,0,0,0,0,0.0,0,0,59673,122,0.0,8662.839999999998
20210605,50308424081820,TME,0,10010,0,2123139997696,0,0,0.0,23,0,0,0,0.02,0.0
20210605,10600415585766,IEG,0,105,0,287553871028224,21072365,20917359,269.2678872346878,48925,257,115,8,1610.095809999999,507.98
20210605,60704472578903,TME,0,104,204,88017998720,0,0,0.0,9,0,0,0,0.03,0.0
20210605,60005012352827,TKD,1,104,0,0,0,0,0.0,0,0,7445,21,0.0,590.91
20210605,90704445965875,IEG,0,107,0,10074668989440,138893,182975,57.84402084350586,183,10,0,0,4.309999999999999,0.0
20210605,60003454983821,TME,1,10,0,0,0,0,0.0,0,0,26535,35,0.0,747.57
20210605,50604428212896,TKD,1,315,405,0,0,0,0.0,0,0,9,0,0.0,0.0
20210605,40706426556602,未分组1,0,7,204,203718000640,0,0,0.0,4,0,0,0,0.035679999999999996,0.0
20210605,60402262989318,CSIG,1,105,0,0,0,0,0.0,0,0,10971,50,0.0,2470.57
20210605,20201368893836,TKD,0,7,204,3050069992960,16000000,16000000,16.0,404,16,0,0,3.0731800000000002,0.0
20210605,30506472073904,TME,1,104,10801,0,0,0,0.0,0,0,16822,27,0.0,6407.6
20210605,40706426556602,QQ系,0,301,108,829696008849600,212472071,212510382,843.3276796936989,17092,842,0,0,342.90999999999997,0.0
20210605,80303373095787,QQ系,0,405,205,40275439010368,1390706,1406205,51.20137441158295,4483,51,0,0,84.35,0.0
20210605,40106476583359,阅文系,0,302,0,2885526994176,7886,7413,4.897653818130493,208,5,0,0,0.33999999999999997,0.0
20210605,90503492650537,IEG,0,107,0,12316917009536,885430,998295,21.000000953674316,1437,11,0,0,18.299999999999997,0.0
20210605,30400461864295,TME,0,405,204,761097990144,0,0,0.0,10,0,0,0,0.27,0.0
20210605,60402262989318,CSIG,0,107,0,371287206920512,3225955,3857239,2292.154301702976,9664,148,0,0,212.80693999999997,0.0
20210605,20204533209471,TME,0,7,204,148534001664,0,0,0.0,4,0,0,0,0.03094,0.0
20210605,50604428212896,TKD,0,104,105,29868720119896704,176082915,178258117,35664.494341135025,2055175,31411,227489,13,4625.1452899999995,2116.92
20210605,70908422871965,阅文系,1,10801,0,0,0,0,0.0,0,0,4696,0,0.0,0.0
20210605,90603469797199,TME,1,204,0,0,0,0,0.0,0,0,3133,3,0.0,268.21000000000004
20210605,30400461864295,TME,1,7,204,0,0,0,0.0,0,0,55,0,0.0,0.0
20210605,40106476583359,阅文系,1,204,0,0,0,0,0.0,0,0,1374,4,0.0,99.87
20210605,50901413830594,IEG,0,104,106,36718039980864,7232219,7286957,26.831849098205566,4395,26,97,3,124.68999999999997,0.0
20210605,20009480643972,IEG,0,405,0,11736618969088,709412,944125,13.771142780780792,514,12,0,0,44.50599000000001,0.0
20210605,70506421868294,TKD,0,10010,0,1004976009216,0,0,0.0,27,0,0,0,0.0,0.0
20210605,10604328256510,TME,0,104,10801,1988664917399296,74054983,76122696,2072.3328734636307,31218,1949,13,2,771.7435999999997,2163.32
20210605,70608348419857,IEG,0,105,204,152466999296,0,0,0.0,4,0,0,0,0.6199999999999999,0.0
20210605,70804376351702,IEG,0,105,0,116457998336,0,0,0.0,5,0,0,0,0.0,0.0
20210605,40701491823377,CSIG,0,104,10801,283454158938048,11153653,11207045,578.6069962382317,3021,575,0,0,58.99000000000003,0.0
20210605,10509414896986,IEG,0,7,204,65926000640,0,0,0.0,1,0,0,0,0.0,0.0
20210605,10600415585766,IEG,0,7,0,2554059995328,3000000,3000000,3.0,419,3,0,0,9.400199999999998,0.0
20210605,60608308136142,IEG,1,105,106,0,0,0,0.0,0,0,19205,29,0.0,3980.0
20210605,60305460411544,阅文系,1,7,204,0,0,0,0.0,0,0,584,0,0.0,0.0
20210605,90301475842282,TME,0,104,204,3580945007616,118452,119759,4.186569333076477,210,4,0,0,0.48000000000000004,0.0
20210605,30208368992837,TKD,1,405,0,0,0,0,0.0,0,0,47433,32,0.0,4604.9400000000005
20210605,50308424081820,TME,0,105,0,8004199256739008,87973691,90589211,32304.999019920826,76393,7604,35,1,2657.256379999998,28.0
