process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,gmv,second_gmv
20210605,40706426556602,QQ系,0,104,0,18326269,928645,5698,0,960520893087457920,15494398335,16680999,261083.51263999994,80387.09,0.0
20210605,90603469797199,TME,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,10005398496922,IEG,0,104,0,526350,7993,56,0,8358790662477440,409519437,20586,8826.924959999997,1235.33,0.0
20210605,20209449293196,TME,1,104,0,0,0,21,0,0,0,0,0.0,486.33,0.0
20210605,50309348389211,IEG,0,104,0,4068,13,1,0,20613754996672,2342591,0,144.50000000000003,9.7,0.0
20210605,90503492650537,IEG,0,104,0,48484,355,0,0,372928797039104,30469816,0,920.9003599999993,0.0,0.0
20210605,60901499286057,IEG,0,104,0,1,0,0,0,6493000192,0,0,0.02,0.0,0.0
20210605,50605442246954,IEG,1,104,0,0,0,248,0,0,0,0,0.0,6702.320000000001,0.0
20210605,30806358632143,IEG,1,104,0,0,0,376,0,0,0,0,0.0,21741.439999999995,0.0
20210605,40109452819930,IEG,0,104,0,453,4,1,0,5990674987328,1297420,0,61.339999999999975,20.5,0.0
20210605,90503492650537,IEG,1,104,0,0,0,23,0,0,0,0,0.0,599.39,0.0
20210605,30400461864295,TME,1,104,0,0,0,399,0,0,0,0,0.0,10174.7,0.0
20210605,50104416453989,未分组1,1,104,0,0,0,2,0,0,0,0,0.0,68.33,0.0
20210605,80904328951508,TME,0,104,0,440143,37199,2,0,40344081047251200,901111663,0,8709.746339999994,27.53,0.0
20210605,80309495536503,未分组1,1,104,0,0,0,1,0,0,0,0,0.0,17.99,0.0
20210605,90704445965875,IEG,1,104,0,0,0,17,0,0,0,0,0.0,146.84,0.0
20210605,20204533209471,TME,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,60208465173782,IEG,0,104,0,26,0,0,0,72490999552,0,0,0.4,0.0,0.0
20210605,20204533209471,TME,0,104,0,1149,64,3,0,46606470925312,2334810,0,33.834830000000025,96.0,0.0
20210605,10600415585766,IEG,1,104,0,0,0,83,0,0,0,0,0.0,2341.61,0.0
20210605,40301325569554,TME,0,104,0,1432801,26874,102,0,28039696140320704,576226289,5302,22444.56498999999,2918.34,0.0
20210605,70908422871965,阅文系,1,104,0,0,0,120,0,0,0,0,0.0,1852.5300000000002,0.0
20210605,40106476583359,阅文系,0,104,0,18290,340,0,0,284716756793216,2595164,0,30.57137999999998,0.0,0.0
20210605,10604328256510,TME,1,104,0,0,0,86,0,0,0,0,0.0,2518.41,0.0
20210605,60508439594416,TME,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,80304215099367,CSIG,1,104,0,0,0,4,0,0,0,0,0.0,42.47,0.0
20210605,70707452477964,阅文系,1,104,0,0,0,158,0,0,0,0,0.0,3954.0200000000004,0.0
20210605,60704472578903,TME,1,104,0,0,0,128,0,0,0,0,0.0,3144.1000000000004,0.0
20210605,80909275122043,CSIG,0,104,0,494,24,0,0,15319816992768,49082,11193,0.24,0.0,0.0
20210605,70702022115052,TKD,0,104,0,41788127,673212,5476,0,720966419898409088,15879863155,628244,525489.1903499998,114387.2,0.0
20210605,90100470046973,IEG,0,104,0,35,0,0,0,297784002176,0,0,0.16999999999999998,0.0,0.0
20210605,40707432255536,IEG,1,104,0,0,0,9,0,0,0,0,0.0,433.73,0.0
20210605,70405412545955,IEG,0,104,0,100536,1166,6,0,1236772970024640,48860596,10940,2832.523409999999,562.72,0.0
20210605,30302471412393,QQ系,0,104,0,154684,823,28,0,935926628024704,26756712,18154,317.14647000000014,229.34,0.0
20210605,70609460544983,IEG,0,104,0,2093260,7563,58,0,8224192604023936,572863484,8562,7621.607029999999,1220.81,0.0
20210605,50002495342288,TME,1,104,0,0,0,7,0,0,0,0,0.0,464.78,0.0
20210605,40701491823377,CSIG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,40809434919914,CSIG,0,104,0,27,0,0,0,608858001920,0,0,0.07368000000000001,0.0,0.0
20210605,70304481261296,TME,1,104,0,0,0,3196,0,0,0,0,0.0,24001.76,0.0
20210605,20309460140974,IEG,0,104,0,12,0,0,0,114528001024,0,0,0.47,0.0,0.0
20210605,90903124471793,其他,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,60402262989318,CSIG,1,104,0,0,0,2803,0,0,0,0,0.0,52762.18,0.0
20210605,70804376351702,IEG,0,104,0,224,5,0,0,9999716011200,34725,0,1.0,0.0,0.0
20210605,70100221174573,CSIG,1,104,0,0,0,91,0,0,0,0,0.0,1579.82,0.0
20210605,20009480643972,IEG,1,104,0,0,0,1,0,0,0,0,0.0,96.8,0.0
20210605,60005012352827,TKD,1,104,0,0,0,21,0,0,0,0,0.0,590.91,0.0
20210605,60005012352827,TKD,0,104,0,83285,663,0,0,546192849924928,20907031,0,454.1791400000001,0.0,0.0
20210605,80303373095787,QQ系,0,104,0,140855,9893,10,0,10296696604198528,314928008,0,3530.393650000001,231.99,0.0
20210605,90505451424076,IEG,1,104,0,0,0,5,0,0,0,0,0.0,135.6,0.0
20210605,40604491829077,IEG,1,104,0,0,0,1,0,0,0,0,0.0,60.0,0.0
20210605,20604530875002,TME,1,104,0,0,0,9,0,0,0,0,0.0,279.91999999999996,0.0
20210605,20906306793614,TKD,0,104,0,77740,95,0,0,146989803952896,1416259,0,65.71061000000003,0.0,0.0
20210605,20805465563596,QQ系,0,104,0,29163,243,0,0,262887963900288,1203833,0,28.235450000000007,0.0,0.0
20210605,50806409090287,TME,1,104,0,0,0,16,0,0,0,0,0.0,403.21000000000004,0.0
20210605,30607480914543,阅文系,1,104,0,0,0,5289,0,0,0,0,0.0,51144.91999999999,0.0
20210605,40701410311452,QQ系,1,104,0,0,0,24,0,0,0,0,0.0,496.44,0.0
20210605,40504315369553,TME,1,104,0,0,0,5156,0,0,0,0,0.0,96568.53,0.0
20210605,40706426556602,未分组1,0,104,0,4318,342,0,0,338571011028224,2664599,0,20.58469000000002,0.0,0.0
20210605,60304476255988,未分组1,0,104,0,3413,60,0,0,67718916973312,12910765,0,445.81999999999977,0.0,0.0
20210605,90805444657273,CSIG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,60608308136142,IEG,1,104,0,0,0,1820,0,0,0,0,0.0,41327.73,0.0
20210605,20201368893836,TKD,0,104,0,1491402,44011,47,0,42596410239686336,773344456,400,16370.23246,907.3500000000001,0.0
20210605,80909368092923,IEG,0,104,0,262805,2562,89,0,2651467681744768,137310514,92953,7175.900739999999,3775.5400000000004,0.0
20210605,30800591023329,TME,1,104,0,0,0,84,0,0,0,0,0.0,1086.66,0.0
20210605,20906306793614,TKD,1,104,0,0,0,2,0,0,0,0,0.0,70.87,0.0
20210605,30208368992837,TKD,1,104,0,0,0,69,0,0,0,0,0.0,2247.2300000000005,0.0
20210605,30502474797090,CSIG,0,104,0,75022,5392,0,0,5697107707719424,181431925,0,2691.7793100000044,0.0,0.0
20210605,80309495536503,未分组1,0,104,0,10012,30,1,0,41468479018112,3810300,0,231.64191000000017,15.65,0.0
20210605,70100221174573,CSIG,0,104,0,257119,8039,0,0,8191101073734720,93710144,22045,1869.6123099999986,0.0,0.0
20210605,20605460089933,IEG,0,104,0,666,15,0,0,14955274024192,506251,0,14.269999999999989,0.0,0.0
20210605,40504315369553,未分组1,1,104,0,0,0,4,0,0,0,0,0.0,83.58,0.0
20210605,70609460544983,IEG,1,104,0,0,0,508,0,0,0,0,0.0,5178.83,0.0
20210605,50806409090287,TME,0,104,0,11903,78,2,0,90776292059904,21769845,0,530.7766599999998,31.68,0.0
20210605,20306444885088,IEG,1,104,0,0,0,2,0,0,0,0,0.0,53.459999999999994,0.0
20210605,20209449293196,TME,0,104,0,76556,660,1,0,794419816012096,28581508,5943,611.1096099999995,8.89,0.0
20210605,20900420119451,QQ系,0,104,0,60779,316,0,0,335313694024640,5321137,0,159.80926999999994,0.0,0.0
20210605,30806358632143,IEG,0,104,0,971837,12380,380,0,12982133632924608,720322713,1030445,40909.666679999995,13489.949999999999,0.0
20210605,90205493587472,IEG,0,104,0,97,1,0,0,1266671008768,58895,0,1.62,0.0,0.0
20210605,20201368893836,TKD,1,104,0,0,0,609,0,0,0,0,0.0,12044.439999999999,0.0
20210605,30400461864295,TME,0,104,0,351769,26625,0,0,27036066569292288,426862908,0,12110.913709999997,0.0,0.0
