process_date,site_id,position_id,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,first_gmv,second_gmv,gmv
20210605,60402262989318,4011608449932965,104,106,254298,19010,1248,168,23916149417945088,1376841224,156697162,9768.05787,0,11792.81,11792.81
20210605,30607480914543,4000954815148260,104,0,3458,717,21,0,840601658606592,16420043,0,339.16935,339.25000000000006,0,339.25000000000006
20210605,90301475842282,8081673410512568,104,204,178,3,0,0,2356485003776,111530,2799,0.29,0,0,0
20210605,10309012621387,4050509377014063,104,108,355,8,2,0,4559161991040,357134,26753,3.86,0,0,0
20210605,70601378118790,9061149415904610,104,10801,1508,5,3,0,12374669003904,1054493,65760,254.92981,0,0,0
20210605,30607480914543,9001887646198092,104,105,88,8,1,1,12690930941952,272574,162815,9.77032,0,40,40
20210605,70506421868294,1081675071747051,104,204,459,2,2,0,3106196999424,60182,19170,3.63491,0,0,0
20210605,30506472073904,5031775252270745,104,105,55,1,0,0,842207005696,159628,56372,2.67041,0,0,0
20210605,30506472073904,2071265498841223,104,204,36,1,0,0,436933997056,221153,23771,2.5287,0,0,0
20210605,60005012352827,1061419874746315,104,108,34,4,0,0,985220996608,226077,17198,0.28852,0,0,0
20210605,10005398496922,6001775438127038,104,315,48,2,0,0,1087191003520,598964,471583,3.21242,0,0,0
20210605,60005012352827,6041503214733796,104,315,15,0,0,0,3352838946816,0,0,1.32,0,0,0
20210605,20604530875002,9051243560359439,104,315,2,0,0,0,7900999936,0,0,0.03075,0,0,0
20210605,70506421868294,2010037357296348,104,10801,274181,4851,220,26,4989513731451456,223714540,21049917,17620.73808,0,23380.23,23380.23
20210605,60005012352827,6001733391974745,104,0,147230,5956,208,0,5865296477200128,143008198,0,2678.91559,3758.7400000000034,0,3758.7400000000034
20210605,70405412545955,2091404224060390,104,108,1092,43,4,0,29616135993472,3276895,146649,29.09437,0,0,0
20210605,40706426556602,4050489442233666,104,106,403,18,0,0,13773989031936,58069,19443,1.78404,0,0,0
20210605,60402262989318,7080797301812996,104,106,1259,16,0,0,23465401996032,134364,43790,2.43182,0,0,0
20210605,50206368215858,3051523401015832,104,105,1,0,0,0,4145999872,0,0,0.04,0,0,0
20210605,30506472073904,2021468826023803,104,204,2,0,0,0,13597999616,0,0,0.02,0,0,0
20210605,30607480914543,4041465352703299,104,0,193646,45430,393,0,48563483796257792,608738003,0,9553.1664,5535.640000000002,0,5535.640000000002
20210605,40504315369553,8060931956679544,104,106,559224,13388,106,63,13181934108772480,53572943,14261953,2119.38783,0,6321.73,6321.73
20210605,60005012352827,6011621117831788,104,106,1957101,93923,7845,1379,98995762843034432,8562900196,1269667275,39857.70457,0,233275.44999999995,233275.44999999995
20210605,30506472073904,4081542394286278,104,204,4670,61,2,0,66738933964672,2299141,83686,19.03378,0,0,0
20210605,30806358632143,3090653004619755,104,0,14121,128,4,0,114284111976064,4796501,0,244.03705,133.4,0,133.4
20210605,10005398496922,2050657611852988,104,105,33824,435,34,11,455949728889024,33130813,19006478,882.89735,0,438.49,438.49
20210605,60608308136142,5051101671195074,104,315,9810,86,27,31,92804254006592,20298839,24929236,168.60721,0,122.7,122.7
20210605,20604530875002,3081142520752502,104,105,300,6,4,2,5445051985920,1157886,451868,24.23849,0,80,80
20210605,60005012352827,6041503214733796,104,108,56,7,0,0,7859048020992,41153,7543,3.06,0,0,0
20210605,10309012621387,9041034148041389,104,106,149,12,0,0,10026910973952,1178909,545504,10.36218,0,0,0
20210605,70506421868294,6061809136059854,104,204,45,0,0,0,153357000832,0,0,0.04741,0,0,0
20210605,80304215099367,9070759206383574,104,105,129,1,0,0,1155184002560,31559,15543,1.34,0,0,0
20210605,10005398496922,1021657169290139,104,105,18,0,0,0,285675000064,0,0,0.48883,0,0,0
20210605,60608308136142,3030153601152857,104,0,579295,6410,241,0,7844777409054592,293848568,0,7209.67109,5505.36,0,5505.36
20210605,60608308136142,9060261918861118,104,315,1277,36,9,15,31158062060672,10550621,11829204,61.13716,0,62,62
20210605,40504315369553,8041000197169327,104,0,504062,17452,121,0,15291858212420992,214942068,0,3478.05579,2101.54,0,2101.54
20210605,40701410311452,8031219622457555,104,0,10189,31,0,0,28954057990144,365398,0,5.69582,0,0,0
20210605,10005398496922,2050657611852988,104,0,130769,1449,37,0,1663501852680448,64952365,0,1273.80404,686.28,0,686.28
20210605,70609460544983,4040883705922331,104,0,56425,242,4,0,256954272991424,8827498,0,96.68316,7.25,0,7.25
20210605,30607480914543,5071175778726785,104,0,57385,859,7,0,898145165010048,9131690,0,150.81125,92.53,0,92.53
20210605,30506472073904,4091968803160376,104,0,999,13,5,0,12418594988608,3070041,0,49.85146,72.53,0,72.53
20210605,70702022115052,8071427021069826,104,204,1594,6,0,0,7741917009408,258094,32518,8.20862,0,0,0
20210605,60005012352827,4031385499008864,104,10801,436,17,1,0,16766403995648,507825,43872,33.36943,0,0,0
20210605,20306444885088,2051915444278815,104,10801,4,0,0,0,1822000000,0,0,0,0,0,0
20210605,40809434919914,9010290498791435,104,106,35,1,0,0,670107002112,8174,2813,0.2151,0,0,0
20210605,70601378118790,2001461412037149,104,106,7,0,0,0,47816999936,0,0,0.06,0,0,0
20210605,70702022115052,3041748323409592,104,0,62644,901,19,0,891847076064512,15110185,0,590.27442,726.7399999999999,0,726.7399999999999
20210605,30607480914543,7000058680351710,104,10801,810,116,8,1,122044085044224,2727209,271490,282.81947,0,618.88,618.88
20210605,30806358632143,7091300641091180,104,10801,122522,1280,132,8,1363228045427008,105795382,10700844,20647.2529,0,14076.76,14076.76
20210605,50604428212896,6021611312337603,104,0,7121,562,1,0,576652107798528,2430975,0,70.0436,15,0,15
20210605,30506472073904,6090880420503002,104,106,260,3,2,2,4818183002880,382797,33322,4.13785,0,194,194
20210605,70702022115052,2021936811877990,104,106,339558,1729,26,7,1895187994172352,30205321,9018712,1134.91249,0,2633.2199999999993,2633.2199999999993
20210605,70702022115052,1011001109676530,104,10801,1101,0,0,0,3621669002752,0,0,5.22704,0,0,0
20210605,50609444954277,7050496777471830,104,105,2673,6,0,0,9041097002240,61012,21134,3.72,0,0,0
20210605,10005398496922,8091957189591163,104,0,3640,37,2,0,36002788016704,2133591,0,44.7659,46.519999999999996,0,46.519999999999996
20210605,90205493587472,7040196274993339,104,10801,1,0,0,0,5672000000,0,0,0.05,0,0,0
20210605,70707452477964,8000396173933204,104,105,36,0,0,0,717339002624,0,0,0.00621,0,0,0
20210605,10309012621387,2021634183424641,104,105,5,0,0,0,209411995648,0,0,0.05,0,0,0
20210605,70908422871965,9040483655993254,104,105,9,0,0,0,113815000064,0,0,0.00617,0,0,0
20210605,70608348419857,4031609224726424,104,106,70971,1574,337,141,1718553382486720,400410037,141731728,8362.80797,0,8709.21,8709.21
20210605,20102414297987,3081901214005144,104,0,35052,584,31,0,591957649763456,38785944,0,957.80345,747.47,0,747.47
20210605,70702022115052,4081143379196329,104,105,6342,117,1,0,114279866922048,1142168,576962,37.2287,0,0,0
20210605,40106476583359,7041712882646775,104,106,1731,49,0,0,20128997997824,332474,122903,2.39459,0,0,0
20210605,10406450945135,1030067827429446,104,106,1978,10,1,1,12941281009600,1149353,238105,48.35266,0,175,175
20210605,20900420119451,9041417672758880,104,108,83,0,0,0,430225999168,0,0,0.1,0,0,0
20210605,30506472073904,8051149550352980,104,315,9,0,0,0,248323997696,0,0,0.54902,0,0,0
20210605,50901413830594,3071101589238040,104,105,9,0,0,0,73638000128,0,0,0.21,0,0,0
20210605,70506421868294,4010767671541092,104,0,1431671,16941,488,0,17247583549975744,340004976,0,7972.68112,9503.56,0,9503.56
20210605,60608308136142,8041675922966476,104,108,326,3,1,0,3088924992448,829175,49146,19.20649,0,0,0
20210605,60005012352827,6001733391974745,104,204,7647,149,8,1,156955776923264,5120949,2111569,132.37923,0,40.53,40.53
20210605,60608308136142,2080666978753591,104,0,6108,157,10,0,181849632808320,8366603,0,233.10735,235.64000000000001,0,235.64000000000001
20210605,90505451424076,6060965591297551,104,0,8820,62,7,0,62448707003520,6725767,0,163.09,161.6,0,161.6
20210605,70506421868294,3030097528189334,104,108,4864,63,4,0,58041984965760,259792,45557,7.86158,0,0,0
20210605,60608308136142,2080666978753591,104,10801,2276,27,4,0,37216822063552,2559527,567621,716.90622,0,0,0
20210605,30806358632143,7091300641091180,104,105,5022,27,2,0,47313969023296,1764087,965035,196.27326,0,0,0
20210605,30605462917931,5020695352897823,104,10801,281,3,1,0,1567483998080,645896,51649,23.53284,0,0,0
20210605,70506421868294,2061485674195982,104,106,128,16,0,0,14191757946880,1124242,311751,12.6617,0,0,0
20210605,70100221174573,4060122241022484,104,108,122,1,0,0,1575551003904,39933,3519,0.76,0,0,0
20210605,50605442246954,5051024513806628,104,10801,89,3,0,0,793188002368,579885,45287,13.45575,0,0,0
20210605,10309012621387,9050804829703051,104,105,101,3,0,0,3236971010048,22347,17302,3.38987,0,0,0
20210605,30506472073904,6021566843472747,104,204,3,0,0,0,12108000000,0,0,0.03,0,0,0
20210605,40807403425677,7070889811747167,104,0,36263,2161,341,0,1862010056043008,493008739,0,6480.25356,3820.57,0,3820.57
20210605,50002495342288,7081503688576517,104,10801,521,18,2,0,27469333972864,393567,65156,7.09077,0,0,0
20210605,70702022115052,7030428295248122,104,105,6139,109,2,1,121745037082368,1482015,722411,48.6904,0,28.44,28.44
20210605,70908422871965,9041121484906897,104,0,131663,2000,39,0,2192099934827712,62961765,0,1104.26357,369.63999999999993,0,369.63999999999993
20210605,70702022115052,5090437164960441,104,108,15407,163,15,3,206380528032064,12045601,1068953,194.2271,0,411.86,411.86
20210605,60608308136142,5051101671195074,104,105,81211,850,66,29,1005480753216064,74124860,35590826,1796.2456,0,1403.52,1403.52
20210605,40301325569554,5000381345277060,104,106,2370,27,1,0,38090132931136,598361,201254,28.8262,0,0,0
20210605,10509414896986,8031401203883431,104,106,18943,219,10,4,203403630929472,12260527,3658256,566.14305,0,542,542
20210605,70707452477964,8000396173933204,104,10801,106,1,0,0,1387729998976,2582,260,0.21883,0,0,0
20210605,40504315369553,4040039158273240,104,108,152,3,0,0,1381926998592,4173,870,0.55122,0,0,0
20210605,60402262989318,5091029570740426,104,108,344,6,0,0,3869766999936,143612,18724,2.92292,0,0,0
20210605,60402262989318,4031413090346342,104,315,108,4,0,0,1601900995136,110749,277046,1.71055,0,0,0
20210605,50104416453989,5061520232237056,104,105,49,0,0,0,525857000448,0,0,7.09,0,0,0
20210605,40706426556602,4050489442233666,104,105,6,0,0,0,193521000448,0,0,0.00583,0,0,0
20210605,30602476557982,6011715618083900,104,106,29169,2820,299,4,2925008542277632,403767794,9877792,2065.83227,0,212.75,212.75
20210605,90603469797199,2041233673189708,104,106,22513,481,3,1,537526474970816,3252908,940436,168.21652,0,171,171
20210605,50206368215858,5031505718636833,104,106,1579,77,6,2,60342375052480,9376907,3435179,318.88805,0,321,321
20210605,30607480914543,2091943567797772,104,106,30880,369,4,2,433609251992192,7418897,1555473,65.64348,0,154,154
20210605,30607480914543,9030459845744194,104,0,673,152,4,0,157341830090752,9655640,0,165.1757,133.82999999999998,0,133.82999999999998
20210605,10309012621387,4020684472251274,104,108,1427,7,0,0,7536116999168,79482,36178,12.15,0,0,0
20210605,60303415282763,6041544896429857,104,105,87,0,0,0,442567001216,0,0,2.42289,0,0,0
20210605,50604428212896,8061828846258613,104,105,87,1,0,0,3353499999744,35834,18270,4.24414,0,0,0
20210605,80303373095787,5061752007336331,104,0,1,1,0,0,335273984000,4689,0,0.02,0,0,0
20210605,60807476850604,4060255819345880,104,315,1,0,0,0,50348998656,0,0,0.14535,0,0,0
20210605,40504400147134,7040161307043752,104,0,2027,16,5,0,18984274023488,2131701,0,93.17199,117.92,0,117.92
20210605,10907511528330,1031452123155807,104,0,6660,317,2,0,307380642164736,1877027,0,121.89049,61.1,0,61.1
20210605,20201368893836,9020243845002050,104,105,19567,1936,43,15,1697781457531392,110391141,46943008,2182.47493,0,635.76,635.76
20210605,40301325569554,5000381345277060,104,108,8,0,0,0,247140996096,0,0,0.0252,0,0,0
20210605,30208368992837,5060781113824412,104,108,21,0,0,0,315213996672,0,0,0.37956,0,0,0
20210605,70506421868294,9041877110988137,104,204,582,8,0,0,15690399940352,108247,12214,6.13,0,0,0
20210605,60402262989318,9081518050544082,104,204,10,1,0,0,1732188971008,648,64,0.28445,0,0,0
20210605,40504315369553,8071320282221245,104,204,12,1,0,0,1207756007424,75787,49661,1.51693,0,0,0
20210605,10309012621387,2050023592295759,104,315,2,0,0,0,395000000,0,0,0,0,0,0
20210605,40504315369553,7031468634875863,104,10801,0,1,0,0,0,2899,160,0,0,0,0
20210605,70702022115052,6001411154767755,104,10801,1155445,9812,434,58,8553943341640256,343303780,49597785,37656.50143,0,47701.08999999999,47701.08999999999
20210605,20201368893836,9020243845002050,104,106,113311,9776,158,34,10923462465855232,338172096,119500341,5274.13178,0,4120.03,4120.03
20210605,60402262989318,4011608449932965,104,10801,12898,850,7,0,766179805326848,6657721,627507,622.41427,0,0,0
20210605,10309012621387,6020296181955926,104,108,28,3,2,0,506867000320,72555,5599,0.23,0,0,0
20210605,70405412545955,3061470448536689,104,105,216,1,0,0,2820822006016,162922,12914,23.34156,0,0,0
20210605,10309012621387,7031138401897957,104,105,3,0,0,0,147320000512,0,0,0.04,0,0,0
20210605,20306444885088,2051915444278815,104,315,2,0,0,0,1690000000,0,0,0,0,0,0
20210605,20306444885088,8021418444970892,104,108,7,0,0,0,30439999744,0,0,0.01591,0,0,0
20210605,30806358632143,8041569295857557,104,0,2,0,0,0,20673999872,0,0,0.12798,0,0,0
20210605,70702022115052,5090437164960441,104,0,2715730,36874,1390,0,41532694663441408,822636067,0,25441.66345,31177.55000000001,0,31177.55000000001
20210605,20201368893836,1030486135531251,104,0,55583,415,24,0,472277642117184,14762949,0,533.62464,523.95,0,523.95
20210605,50309348389211,3010056491085714,104,10801,6349,31,4,0,33521556008768,7863639,775069,451.96,0,0,0
20210605,70100221174573,7070365994534198,104,204,644,48,0,0,46025587977216,568747,18720,3.2231,0,0,0
