order,ctr_bias,cvr_bias,pctr,pcvr,exposure_cnt,click_cnt,active_cnt,ctr,cvr,ctr_bb,cvr_bb
0,-0.128720541,-0.039194006,0.017830319,0.120684805,1.09483E+14,2.24051E+12,2.81426E+11,0.020464524,0.125607881,-0.128720541,-0.039194006
1,-0.192054655,-0.048236256,0.016534217,0.119549027,1.09483E+14,2.24051E+12,2.81426E+11,0.020464524,0.125607881,-0.192054655,-0.048236256
2,-0.206352528,-0.063317576,0.016241618,0.117654694,1.09483E+14,2.24051E+12,2.81426E+11,0.020464524,0.125607881,-0.206352528,-0.063317576
3,-0.110711898,0.243589657,0.019310419,0.156814441,3.05754E+13,6.63929E+11,83720219992,0.021714469,0.126098219,-0.110711898,0.243589657
4,0.03035537,0.649978223,0.024315268,0.198677171,8.78128E+12,2.07229E+11,24952830684,0.023598914,0.120411996,0.03035537,0.649978223
5,0.221382248,1.138984567,0.032242102,0.227974983,2.59195E+12,68422341439,7292517365,0.026398043,0.106580939,0.221382248,1.138984567
6,0.375422325,1.68098561,0.041237238,0.232369868,7.83644E+11,23494835062,2036374866,0.02998151,0.086673299,0.375422325,1.68098561
7,0.475414563,2.110082384,0.049790595,0.206270736,2.3117E+11,7801273595,517405729,0.033746851,0.066323238,0.475414563,2.110082384
8,0.500900678,2.256761314,0.055015819,0.163531974,60533153191,2218855012,111415515,0.036655203,0.050213067,0.500900678,2.256761314
9,0.398944486,1.45731207,0.050144599,0.115814954,10605830379,380161699,17917305,0.035844595,0.047130747,0.398944486,1.45731207
