order,ctr_bias,cvr_bias,pctr,pcvr,exposure_cnt,click_cnt,active_cnt
2,-0.2063525284313703,-0.06331757624994194,0.016241617654058887,0.11765469436446471,109482614811997,2240509588002,281425661583
4,0.030355370312152408,0.6499782226347681,0.02431526806292493,0.1986771712278233,8781284366933,207228777052,24952830684
5,0.22138224833789333,1.1389845672498513,0.03224210172157002,0.2279749826165044,2591947446385,68422341439,7292517365
6,0.37542232463244485,1.6809856095149267,0.04123723773107848,0.2323698675439498,783644163282,23494835062,2036374866
7,0.4754145628452877,2.1100823842232037,0.04979059485520088,0.20627073562583662,231170418917,7801273595,517405729
0,-0.1287205409258445,-0.03919400575462617,0.01783031931815837,0.12068480493517757,109482614811997,2240509588002,281425661583
1,-0.1920546550525175,-0.04823625633591211,0.01653421682561108,0.11954902700070019,109482614811997,2240509588002,281425661583
3,-0.11071189754110888,0.24358965724099413,0.019310418966341024,0.15681444065047967,30575403321659,663928648740,83720219992
8,0.5009006775592106,2.2567613140382092,0.055015818858938824,0.16353197350582177,60533153191,2218855012,111415515
9,0.39894448645437475,1.457312070227959,0.050144599128250644,0.11581495442142307,10605830379,380161699,17917305
